Site,Site,Latitude,Longitude,Year,count
A1001,A1001,25.79959,-80.09557,2005,15
A1002,A1002,25.79785,-80.09763000000001,2005,51
A1003,A1003,26.30547859,-80.0676978,2005,41
A1004,A1004,26.28581667,-80.06991667,2005,24
A1005,A1005,26.20315,-80.07788333,2005,45
A1006,A1006,26.18533333,-80.07598333,2005,25
A1008,A1008,25.966070000000002,-80.11376,2005,23
A1010,A1010,25.97474,-80.10535,2005,20
A1011,A1011,25.98560667,-80.10504667,2005,42
A1012,A1012,26.01437167,-80.10203667,2005,38
A1013,A1013,25.998305,-80.10175667,2005,42
A1014,A1014,25.9422,-80.10056999999999,2005,26
A1015,A1015,26.19256667,-80.09126667,2005,11
A1018,A1018,25.88658,-80.11052,2005,17
A1022,A1022,25.862479999999998,-80.08736999999999,2005,24
A1023,A1023,25.7778,-80.09034,2005,13
A1024,A1024,25.969829999999998,-80.08967,2005,15
A1025,A1025,25.90217,-80.08797,2005,31
A1026,A1026,26.30926667,-80.05958333,2005,20
A1028,A1028,25.84086,-80.08813,2005,21
A1029,A1029,24.52118333,-81.52065,2005,30
A1030,A1030,24.50073333,-81.63186667,2005,7
A1031,A1031,24.445,-81.92278333,2005,36
A1032,A1032,24.445,-81.92278333,2005,21
A1034,A1034,24.4524,-81.88335,2005,41
A1035,A1035,24.55008333,-81.44026667,2005,65
A1036,A1036,24.51448333,-81.608,2005,133
A1037,A1037,24.55496667,-81.43548333,2005,77
A1038,A1038,24.51383333,-81.61865,2005,48
A1041,A1041,24.56216667,-81.34035,2005,48
A1042,A1042,24.4381,-81.90306667,2005,32
A1043,A1043,24.55676667,-81.35026667,2005,16
A1044,A1044,24.53556667,-81.45708333,2005,85
A1045,A1045,24.53158333,-81.47908333,2005,87
A1046,A1046,24.54778333,-81.42558333,2005,71
A1047,A1047,24.4472,-81.90301667,2005,49
A1048,A1048,24.49218333,-81.88846667,2005,42
A1049,A1049,24.50496667,-81.72063333,2005,117
A1050,A1050,24.47735,-81.89345,2005,138
A1052,A1052,24.47771667,-81.9567,2005,72
A1053,A1053,24.61976667,-81.37008333,2005,20
A1055,A1055,24.4579,-81.89518333,2005,41
A1057,A1057,24.45968333,-81.90736667,2005,183
A1088,A1088,24.85103333,-80.61818333,2005,7
A1090,A1090,24.82313333,-80.6568,2005,16
A1091,A1091,24.91666667,-80.54546667,2005,4
A1093,A1093,24.89873333,-80.54983333,2005,17
A1096,A1096,24.65213333,-81.01871667,2005,44
A1097,A1097,24.61796949,-81.1897278,2005,42
A1098,A1098,24.63073333,-81.08458333,2005,86
A1099,A1099,24.63025,-81.08346999999999,2005,45
A1101,A1101,24.64875,-81.03075,2005,28
A1104,A1104,24.62516879,-81.23531340000001,2005,54
A1106,A1106,24.90611667,-80.61325,2005,3
A1112,A1112,26.7069,-80.03009,2005,7
A1120,A1120,25.20471667,-80.22256667,2005,66
A1121,A1121,24.99061667,-80.41101667,2005,28
A1122,A1122,24.9859,-80.41523333,2005,39
A1130,A1130,25.13273333,-80.2622,2005,82
A1132.1,A1132.1,25.00493333,-80.38706667,2005,55
A1132.2,A1132.2,25.00513333,-80.38721667,2005,33
A1135,A1135,25.03553333,-80.40291667,2005,64
A1137,A1137,25.10933333,-80.33751667,2005,75
A1138,A1138,25.00853333,-80.44651667,2005,42
A1141,A1141,25.0337,-80.38048333,2005,80
A1142,A1142,25.00808333,-80.42381667,2005,64
A1143,A1143,25.053,-80.3624,2005,36
A1145,A1145,25.42251,-80.12545,2005,15
A1146,A1146,25.40215,-80.13223333,2005,62
A1149,A1149,25.57718,-80.10141,2005,31
A1150,A1150,25.67808333,-80.08978333,2005,45
A1151,A1151,25.3883,-80.13338333,2005,31
A1153,A1153,25.5395,-80.09573,2005,15
A1154,A1154,25.5791,-80.09176667,2005,47
A1157,A1157,25.37571667,-80.13933333,2005,45
A1158,A1158,25.60428333,-80.09375,2005,49
A2000,A2000,25.8247,-80.09069000000001,2005,31
A2111,A2111,26.72257,-80.0286,2005,22
A2159,A2159,25.410020000000003,-80.15696,2005,29
A3001,A3001,25.84219999,-80.104,2005,22
A3002,A3002,25.8422,-80.0881,2005,28
A3003,A3003,26.7093,-80.02848,2005,17
A3012,A3012,24.68976667,-81.03041667,2005,85
A3013,A3013,24.62286667,-81.11101667,2005,54
A3015,A3015,24.5477,-81.58641667,2005,168
A3018,A3018,24.47906667,-81.71678333,2005,39
A4000,A4000,27.10837,-80.12297,2005,16
A4001,A4001,27.112070000000003,-80.1254,2005,8
A4002,A4002,27.13165,-80.1341,2005,51
A4003,A4003,26.15988333,-80.08281667,2005,9
A4004,A4004,26.15869999,-80.07821659999999,2005,22
A4005,A4005,25.45794999,-80.13125,2005,99
A4006,A4006,25.70033333,-80.09688333,2005,37
A4007,A4007,25.6749,-80.09841667,2005,24
A4008,A4008,25.39873333,-80.16096667,2005,124
A4009,A4009,26.14793333,-80.09606667,2005,28
B1000,B1000,25.75106667,-80.09825,2006,49
